frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,-9.178340475900184,47.254242299532066,,,,-27.55085410513269,49.912450020195784,,
1,0.016666666666666666,-9.191031606514192,47.25574881718282,-0.7614678368405237,0.09039105904520284,0.7668140648800723,-27.551102584212686,49.91197639811296,-0.01490874479976867,-0.028417324969325364
2,0.03333333333333333,-9.20821443028139,47.25808421405743,-1.030969426031909,0.1401238124768156,1.0404482881121973,-27.551408869128164,49.91134507497559,-0.018377094928681004,-0.03787938824217463
3,0.05,-9.22979917039218,47.261204144919944,-1.2950844066473621,0.18719585175063003,1.308543429639916,-27.551775844156474,49.91055589517285,-0.02201850169861075,-0.04735078816466398
4,0.06666666666666667,-9.252379967861154,47.26297218645569,-1.3548478481384407,0.10608249214485,1.358994549932054,-27.552146109921555,49.90976668309648,-0.02221594590487541,-0.04735272458219697
5,0.08333333333333333,-9.275754792894745,47.264680782487304,-1.4024895020154204,0.10251576189673983,1.4062312344350523,-27.552466947315907,49.90898087542567,-0.01925024366109085,-0.04714846024853614
6,0.1,-9.300116019257263,47.26616636365843,-1.4616735817511284,0.0891348702674577,1.4643888434042267,-27.552769702923374,49.90814742408271,-0.01816533644806384,-0.05000708057735892
7,0.11666666666666667,-9.324293111983023,47.26629234920058,-1.4506255635455645,0.007559132529308954,1.4506452585303142,-27.553076535276205,49.907292329626365,-0.01840994116982131,-0.0513056673808876
8,0.13333333333333333,-9.350564500496894,47.264334833136516,-1.5762833108322738,-0.11745096384402132,1.5806529678953074,-27.55338326319402,49.9064408378198,-0.01840367506900975,-0.05108950839385784
9,0.15,-9.382920815057622,47.26138777298455,-1.9413788736436643,-0.17682360911805972,1.9494149172947968,-27.553689832904606,49.90558928987261,-0.018394182635077527,-0.05109287683154662
10,0.16666666666666666,-9.40981075389838,47.25797979049353,-1.613396330445518,-0.20447894946116207,1.6263023580711562,-27.553996575791096,49.90473461137928,-0.018404573189414464,-0.051280709599552665
11,0.18333333333333332,-9.433456779593039,47.25349444873965,-1.418761541679494,-0.2691205052326495,1.444060302925557,-27.554298533820585,49.90392784723914,-0.018117481769337473,-0.04840584840863471
12,0.2,-9.458853058715096,47.24890527864119,-1.5237767473234598,-0.27535020590775616,1.5484551370889332,-27.554647215707615,49.90314206107183,-0.020920913221758042,-0.047147170038357444
13,0.21666666666666667,-9.483356267165641,47.244755409691386,-1.4701925070326993,-0.24899213698816425,1.4911281272972576,-27.555016465126712,49.902355923925235,-0.022154965145873007,-0.04716822879586857
14,0.23333333333333334,-9.504682396521346,47.24037237636394,-1.2795677613422995,-0.2629819996465699,1.3063128216490307,-27.555383923929185,49.90154817736391,-0.02204752814833455,-0.048464793679698914
15,0.25,-9.531318093899973,47.23569431085589,-1.5981418427175953,-0.2806839304831499,1.6226030994288962,-27.555754717616747,49.90069286816435,-0.022247621253725924,-0.05131855197348045
16,0.26666666666666666,-9.55902410540359,47.23210486844311,-1.6623606902170707,-0.21536654476690842,1.6762535049877785,-27.55612737638955,49.89984063641082,-0.02235952636823413,-0.051133905211599995
17,0.2833333333333333,-9.5832868965105,47.22863644048175,-1.4557674664145992,-0.208105677681516,1.4705668598722277,-27.55645202167684,49.89898888003359,-0.019478717237362275,-0.05110538263380704
18,0.3,-9.607330209609637,47.2251190458025,-1.4425987859481992,-0.21104368075498314,1.4579542833730519,-27.556766866236106,49.89810602141611,-0.018890673555986837,-0.05297151704880321
19,0.31666666666666665,-9.631461782950389,47.22009935749326,-1.4478944004450867,-0.3011812985543827,1.4788875445547378,-27.55703370855015,49.89741459968202,-0.016010538842650135,-0.04148530404535222
20,0.3333333333333333,-9.654064543799855,47.214524620011844,-1.3561656509679665,-0.33448424888504746,1.3968052783468292,-27.55723130469029,49.89704728595671,-0.011855768408395306,-0.022038823518784056
21,0.35,-9.677864395065036,47.20983398931072,-1.4279910759108816,-0.2814378420676178,1.4554606734050888,-27.557362920689464,49.896948117136624,-0.007896959950386417,-0.005950129205132271
22,0.36666666666666664,-9.707401531662974,47.20499074592928,-1.7722281958762665,-0.2905946028862161,1.7958947634773714,-27.557426019722158,49.897167402120104,-0.003785941961638173,0.013157099008793693
23,0.38333333333333336,-9.73474916944944,47.201613265740264,-1.6408582671879657,-0.20264881134096413,1.653324648620772,-27.557412565604167,49.8976777746359,0.0008072470794218134,0.030622350947879795
24,0.4,-9.760493512725814,47.20101220611744,-1.544660596582439,-0.036063577369418454,1.54508153190927,-27.557382833788076,49.89828022553617,0.0017839089655069529,0.036147054016026914
25,0.4166666666666667,-9.786346673411835,47.20044695809206,-1.551189641161237,-0.03391488152288957,1.5515603507548903,-27.557353940856135,49.89886567826477,0.0017335759164183173,0.035127163716026644
26,0.43333333333333335,-9.811322711788412,47.19782486605876,-1.4985623025946282,-0.15732552199793304,1.5067980271521582,-27.55732443440881,49.899463562554764,0.001770386839581306,0.03587305739969793
27,0.45,-9.831756951527126,47.19678404571102,-1.2260543843228433,-0.062449220864380095,1.227643783230231,-27.557295334948652,49.90005320013067,0.00174596760942336,0.03537825455438792
28,0.4666666666666667,-9.853781643803158,47.198548865635644,-1.321481536561926,0.10588919547743103,1.325717154295337,-27.557266407562174,49.90063935100592,0.0017356431886383916,0.03516905251501612
29,0.48333333333333334,-9.877431421544584,47.19729684124462,-1.4189866644855442,-0.07512146346130066,1.42097374650638,-27.557236733151054,49.90124063871864,0.0017804646672203717,0.03607726276314338
30,0.5,-9.900668876957116,47.19805116495877,-1.3942473247519516,0.045259422848857866,1.3949817267385927,-27.557400326473513,49.90174467423497,-0.009815599347504644,0.03024213097972961
31,0.5166666666666667,-9.923643137201436,47.20160468050491,-1.3784556146591953,0.21321093276824854,1.3948472258413702,-27.557898213697104,49.902119175783255,-0.029873233415500522,0.02247009289717994
32,0.5333333333333333,-9.946886356740116,47.20448862066199,-1.394593172320775,0.1730364094250092,1.4052870579601955,-27.558521606070002,49.902361523408786,-0.03740354237386612,0.01454085753181289
33,0.55,-9.969218375728804,47.203022216632405,-1.339921139321305,-0.08798424177513198,1.3428067196737024,-27.55914349807468,49.90263427567424,-0.03731352028061963,0.016365135927145502
34,0.5666666666666667,-9.99028991865491,47.20451481029166,-1.2642925755663015,0.08955561955545477,1.267460423692209,-27.559763343832454,49.90294849426031,-0.03719074546651768,0.01885311516417687
35,0.5833333333333334,-10.013423320079351,47.20467991213742,-1.3880040854665054,0.009906110745561136,1.3880394347070308,-27.560189881705416,49.9033607808866,-0.025592272377679137,0.024737197577593406
36,0.6,-10.039335688370935,47.205037925339184,-1.55474209749503,0.02148079210570586,1.5548904830092483,-27.560279755938023,49.90395062296649,-0.005392453956432064,0.035390524793399436
37,0.6166666666666667,-10.062466029596482,47.20555844824711,-1.387820473532848,0.03123137447559543,1.3881718429317653,-27.560400623634912,49.90448105530078,-0.0072520618133609105,0.031825940057217394
38,0.6333333333333333,-10.083062229236383,47.20638674350583,-1.2357719783940269,0.04969771552325142,1.2367708945120424,-27.56087775332706,49.90471868302163,-0.028627781528811624,0.014257663250987207
39,0.65,-10.106408783634734,47.20691985224924,-1.400793263901079,0.0319865246046902,1.4011584157214074,-27.561637741536554,49.904682691099076,-0.04559929256970463,-0.0021595153530995503
40,0.6666666666666666,-10.129660919178132,47.20921927829631,-1.3951281326038867,0.1379655628240073,1.401933309008725,-27.562732133175572,49.904380001372076,-0.0656634983410953,-0.018161383620025617
41,0.6833333333333333,-10.15067358376927,47.209097995355954,-1.2607598754683025,-0.007276976421337622,1.2607808762733856,-27.564161558692494,49.90379738145985,-0.0857655310152694,-0.03495719473335157
42,0.7,-10.178281138802491,47.210811621540074,-1.6564533019932526,0.10281757104721123,1.659641224662848,-27.565718525768446,49.903099421230465,-0.09341802455715253,-0.041877613763290356
43,0.7166666666666667,-10.20734625459112,47.21368468201068,-1.7439069473177682,0.17238362823633224,1.7524062189421434,-27.56723069637131,49.90243585970653,-0.09073023617190756,-0.039813691436165755
44,0.7333333333333333,-10.232443723393734,47.21670601771729,-1.5058481281567992,0.18128014239678691,1.5167204999935668,-27.568772600954198,49.9017589918129,-0.09251427497318332,-0.04061207361786501
45,0.75,-10.259014801101266,47.21902068880333,-1.5942646624518986,0.13888026516241325,1.600302328310013,-27.5702613179075,49.90109176170027,-0.08932301719823954,-0.04003380675754897
46,0.7666666666666667,-10.283335763027159,47.22194296881123,-1.4592577155535835,0.17533680047364442,1.4697537460414918,-27.571750587713566,49.900424527549916,-0.08935618836389381,-0.04003404902135799
47,0.7833333333333333,-10.303453211306165,47.2219965960803,-1.2070468967403514,0.0032176361445124257,1.2070511853740382,-27.573292681449903,49.899747662790894,-0.0925256241801975,-0.040611885541324
48,0.8,-10.326230008965185,47.2222382094597,-1.3666078595412046,0.014496802763659389,1.366684747500374,-27.5748047476451,49.89908410997783,-0.09072397171181024,-0.039813168783950914
